timestamp,reviews,score
2021-07-05 00:57:21,very good,5
2017-01-20 17:45:27,neutral,1
2017-02-13 21:58:22,perfect and easy to use,4
2018-04-18 23:37:13,very bad,1
2021-10-28 16:58:59,3 out of 5 i guess,4
2022-03-19 09:17:33,"terrible , so slowcant believe how bad it is",2
2022-07-17 01:03:25,trash app,1
2017-03-10 16:59:54,soooo good,2
2021-08-16 04:50:42,"terrible UI, deleted",1
2019-10-15 20:22:42,uauh terrible,5
2022-04-23 01:27:49,"cant be that bad, but its not perfectnever again using",2
2023-12-10 05:55:35,2 out of 5dont even install,5
2023-05-03 09:50:23,perfect to buy and sell easily,4
2017-05-11 14:37:09,very bad,4
2020-04-21 03:00:00,very bad,5
2017-05-22 09:37:51,"cant be that bad, but its not perfectnever again using",4
2021-03-12 20:56:24,perfection,5
2018-07-06 12:03:18,perfection,3
2023-06-18 07:13:54,hard to tell sometimes good sometimes badnot good not bad.. does the job,1
2022-04-27 00:36:49,"i dont hate it, but i dont love it either..",3
2022-04-23 07:14:54,wow so good,2
2019-09-15 08:36:12,mediocre,4
2018-09-19 23:14:05,"terrible UI, deleted",1
2018-06-19 03:25:39,3 out of 5 i guess,2
2023-06-14 21:38:15,2 out of 5dont even install,2
2023-03-13 07:13:19,uauh terrible,5
2017-06-11 01:56:17,neutral,4
2022-07-23 06:42:31,wow so good,4
2020-08-07 16:25:24,"cant be that bad, but its not perfectnever again using",4
2020-12-05 20:55:25,trash app,3
2019-02-09 05:12:09,bad app,5
2017-02-16 18:04:57,3 out of 5 i guess,1
2017-06-08 14:24:05,3 out of 5 i guess,1
2020-12-24 14:20:57,soooo good,3
2018-07-03 17:15:46,excellent,2
2017-10-20 15:54:15,very good,2
2023-03-26 05:29:25,GREAT APP,4
2017-10-20 21:19:43,neutral,1
2019-08-23 03:23:58,wow so good,3
2019-09-21 22:22:15,soooo good,3
2020-01-28 19:31:19,neutral,1
2019-11-12 17:50:57,"i dont hate it, but i dont love it either..",5
2020-09-10 10:18:42,trash app,5
2022-11-03 03:35:45,excellent,1
2020-03-13 19:02:50,soooo good,5
2018-02-16 00:25:59,very bad,4
2023-02-21 15:37:28,perfect and easy to use,2
2022-06-24 02:34:33,perfect and easy to use,4
2018-06-20 08:41:28,mediocre,3
2023-09-07 04:38:52,"cant be that bad, but its not perfectnever again using",5
2018-06-01 13:19:08,soooo good,5
2019-01-11 19:44:59,3 out of 5 i guess,2
2017-06-05 21:07:11,amazing app i recommend,4
2022-04-02 19:06:20,"terrible UI, deleted",3
2017-11-24 16:50:55,perfect to buy and sell easily,3
2023-01-01 17:25:38,"terrible , so slowcant believe how bad it is",2
2021-08-18 20:54:58,recommend having good phone otherwise will be harddoes the job,2
2020-08-01 18:34:48,3 out of 5 i guess,1
2020-07-08 12:01:52,bad app,4
2017-08-10 05:36:16,very good,1
2020-10-25 03:34:20,3 out of 5 i guess,4
2017-11-30 03:49:23,"cant be that bad, but its not perfectnever again using",5
2023-07-23 12:35:23,"terrible UI, deleted",1
2017-04-21 16:09:02,soooo good,3
2017-08-24 06:07:11,"cant be that bad, but its not perfectnever again using",4
2020-07-22 20:32:57,omg fantastic,1
2018-08-20 13:31:56,2 out of 5dont even install,3
2017-04-21 16:20:46,perfect and easy to use,1
2020-02-08 14:17:51,mediocre,3
2022-01-06 03:52:24,uauh terrible,1
2022-07-09 04:43:48,omg fantastic,2
2022-01-14 14:15:18,mediocre,5
2023-05-03 15:57:02,3 out of 5 i guess,2
2018-03-24 22:26:49,neutral,4
2017-01-13 01:08:41,bad,4
2022-11-01 07:56:45,wow so good,5
2023-09-10 07:29:03,bad,5
2022-10-24 01:50:54,bad app,3
2017-10-12 13:56:58,"terrible UI, deleted",2
2022-11-12 15:07:28,"cant be that bad, but its not perfectnever again using",2
2020-01-08 03:18:13,very good,1
2021-11-10 02:40:02,"i dont hate it, but i dont love it either..",2
2023-05-08 01:29:13,"terrible , so slowcant believe how bad it is",5
2020-03-17 22:25:21,mediocre,5
2020-09-15 07:33:20,neutral,4
2020-01-11 17:04:29,2 out of 5dont even install,1
2018-07-16 14:52:31,"terrible UI, deleted",3
2018-09-26 03:47:48,hard to tell sometimes good sometimes badnot good not bad.. does the job,1
2022-07-26 07:49:22,omg fantastic,1
2022-11-07 23:46:03,3 out of 5 i guess,5
2022-11-12 08:54:50,3 out of 5 i guess,4
2021-03-17 07:55:59,wish it had a easier way to load with money,4
2023-02-07 05:57:31,bad,5
2020-03-11 22:43:57,perfect and easy to use,4
2018-03-01 01:39:38,trash app,5
2021-08-01 02:31:28,uauh terrible,2
2023-02-21 04:34:17,2 out of 5dont even install,4
2018-02-27 09:15:13,omg fantastic,4
2022-07-01 07:14:11,uauh terrible,2
2021-06-23 06:29:09,good,5
2017-04-16 00:41:18,3 out of 5 i guess,4
2022-04-20 05:27:42,GREAT APP,1
2021-05-12 05:45:53,hard to tell sometimes good sometimes badnot good not bad.. does the job,4
2017-10-07 19:27:17,very good,4
2022-05-31 22:40:55,3 out of 5 i guess,5
2021-04-16 10:18:18,trash app,4
2022-06-16 13:01:21,perfect and easy to use,3
2022-09-15 18:38:36,very good,1
2019-11-14 09:45:30,"i dont hate it, but i dont love it either..",3
2017-05-31 13:21:58,good,5
2020-04-05 00:16:35,"terrible UI, deleted",4
2023-11-18 12:37:59,hard to tell sometimes good sometimes badnot good not bad.. does the job,4
2023-03-08 18:33:42,wish it had a easier way to load with money,2
2021-08-03 05:21:48,hard to tell sometimes good sometimes badnot good not bad.. does the job,5
2017-10-07 19:42:56,good,2
2021-07-15 01:26:32,"i dont hate it, but i dont love it either..",4
2022-05-05 00:16:41,"terrible , so slowcant believe how bad it is",1
2021-11-09 18:45:32,"i dont hate it, but i dont love it either..",1
2023-11-10 10:25:00,"cant be that bad, but its not perfectnever again using",3
2021-06-23 20:01:49,soooo good,5
2022-04-22 07:11:54,perfect to buy and sell easily,5
2017-05-17 02:18:18,perfection,1
2023-08-14 22:30:40,perfection,1
2017-10-06 12:15:15,amazing app i recommend,2
2023-08-01 00:16:15,perfect to buy and sell easily,2
2022-12-08 15:29:08,mediocre,2
2022-08-22 05:20:04,2 out of 5dont even install,2
2021-04-17 09:25:29,soooo good,2
2020-05-10 01:16:02,amazing app i recommend,4
2022-07-04 19:53:17,"i dont hate it, but i dont love it either..",1
2022-09-22 21:06:31,2 out of 5dont even install,5
2021-09-28 01:10:29,"terrible , so slowcant believe how bad it is",5
2023-07-02 21:53:12,perfect and easy to use,3
2021-03-14 10:09:03,soooo good,5
2022-04-30 09:26:11,soooo good,5
2018-06-29 10:39:30,perfect and easy to use,3
2022-08-04 16:17:28,amazing app i recommend,3
2022-04-17 15:07:48,GREAT APP,2
2022-08-24 23:50:19,bad app,1
2023-12-06 01:41:48,bad,3
2021-12-26 15:52:39,2 out of 5dont even install,4
2023-03-04 05:11:40,2 out of 5dont even install,5
2021-03-08 09:42:11,excellent,1
2021-09-29 07:44:53,bad app,5
2020-02-08 21:38:00,mediocre,4
2019-12-31 10:14:22,omg fantastic,5
2017-07-07 06:58:32,soooo good,3
2017-07-10 03:45:24,trash app,2
2017-05-07 15:16:35,neutral,4
2022-03-03 05:51:41,neutral,5
2019-04-25 00:59:59,GREAT APP,5
2019-06-11 08:23:52,"cant be that bad, but its not perfectnever again using",3
2019-11-01 21:18:38,recommend having good phone otherwise will be harddoes the job,4
2018-09-01 17:15:17,soooo good,3
2021-04-27 17:18:19,mediocre,3
2020-08-12 09:13:11,recommend having good phone otherwise will be harddoes the job,2
2018-01-26 09:09:34,omg fantastic,2
2023-05-18 01:34:38,uauh terrible,2
2017-03-11 06:42:17,excellent,2
2020-09-17 04:11:26,uauh terrible,1
2020-04-16 14:20:05,wow so good,2
2021-11-20 19:37:00,mediocre,4
2021-07-28 02:03:57,3 out of 5 i guess,1
2021-03-11 12:04:59,"terrible UI, deleted",3
2018-07-21 17:26:44,soooo good,3
2020-03-06 05:43:04,good,4
2017-01-12 21:49:11,very bad,2
2023-04-16 00:28:19,perfect and easy to use,5
2019-04-25 22:56:59,"terrible UI, deleted",3
2022-08-05 08:25:04,"cant be that bad, but its not perfectnever again using",2
2019-03-21 01:23:41,bad app,3
2017-08-20 23:56:00,omg fantastic,1
2022-02-09 18:34:22,bad,4
2023-01-30 14:15:54,wish it had a easier way to load with money,2
2019-04-11 12:28:59,"terrible , so slowcant believe how bad it is",1
2019-04-29 13:02:31,trash app,5
2022-08-10 23:47:49,uauh terrible,4
2020-07-12 17:08:58,soooo good,4
2023-05-22 04:39:20,very bad,1
2019-01-17 09:50:30,wow so good,3
2018-06-07 02:31:54,"i dont hate it, but i dont love it either..",3
2020-08-19 14:52:48,"terrible UI, deleted",4
2017-06-25 04:07:41,3 out of 5 i guess,3
2022-02-27 10:34:03,very bad,4
2023-02-05 17:34:39,bad,2
2022-01-25 17:22:55,hard to tell sometimes good sometimes badnot good not bad.. does the job,1
2019-05-13 20:38:28,amazing app i recommend,5
2023-10-30 00:57:48,perfect to buy and sell easily,1
2021-06-17 18:58:45,"terrible UI, deleted",3
2023-10-23 09:05:15,very bad,3
2019-06-24 14:44:29,bad,4
2019-07-22 06:02:05,GREAT APP,3
2019-02-12 03:37:56,neutral,1
2021-01-24 01:40:27,recommend having good phone otherwise will be harddoes the job,3
2017-12-28 00:14:36,very bad,3
2017-04-27 02:09:46,recommend having good phone otherwise will be harddoes the job,5
2023-02-02 03:25:06,very bad,3
2021-09-26 17:00:27,"terrible UI, deleted",2
2019-02-05 00:35:28,very good,1
2018-12-18 23:37:52,perfection,5
2023-01-19 01:12:28,bad,5
2017-07-25 10:50:48,omg fantastic,4
2018-01-27 14:44:03,GREAT APP,4
2021-12-02 02:11:52,soooo good,3
2022-11-15 02:13:04,2 out of 5dont even install,1
2018-11-13 21:01:10,3 out of 5 i guess,1
2018-08-17 04:53:25,bad app,2
2019-11-14 00:16:13,recommend having good phone otherwise will be harddoes the job,4
2017-06-29 06:27:41,excellent,2
2019-02-19 14:19:40,amazing app i recommend,2
2019-09-13 09:15:06,trash app,2
2022-12-27 00:14:03,good,5
2022-04-19 17:16:14,mediocre,4
2020-01-28 19:14:38,good,5
2018-11-19 04:48:34,trash app,5
2018-02-23 15:41:06,wow so good,1
2021-04-12 15:09:03,2 out of 5dont even install,3
2023-11-23 05:33:03,good,5
2017-09-01 12:33:02,"cant be that bad, but its not perfectnever again using",2
2018-07-13 07:16:00,"i dont hate it, but i dont love it either..",3
2023-10-12 23:19:09,hard to tell sometimes good sometimes badnot good not bad.. does the job,5
2023-04-17 15:01:18,amazing app i recommend,1
2023-09-18 02:17:12,hard to tell sometimes good sometimes badnot good not bad.. does the job,4
2019-12-18 11:03:48,perfect to buy and sell easily,5
2021-11-11 09:14:33,"terrible UI, deleted",2
2020-09-15 13:38:19,very bad,2
2023-05-01 16:59:08,trash app,5
2018-04-16 03:59:12,perfect to buy and sell easily,5
2017-06-08 12:55:59,wow so good,2
2017-01-29 07:12:33,"terrible UI, deleted",4
2020-03-04 21:05:58,wish it had a easier way to load with money,2
2021-04-29 20:23:12,soooo good,2
2023-06-03 17:03:14,trash app,3
2020-11-17 08:33:20,wow so good,3
2022-08-12 10:17:05,trash app,1
2017-11-10 19:15:11,3 out of 5 i guess,1
2020-09-25 17:38:02,perfection,2
2020-06-28 01:46:39,perfect and easy to use,1
2018-06-13 00:10:36,GREAT APP,5
2022-11-22 19:38:00,3 out of 5 i guess,5
2022-04-18 17:22:07,perfection,4
2018-05-20 01:18:54,very good,5
2020-05-22 17:04:37,bad,3
2017-12-30 11:31:43,2 out of 5dont even install,4
2022-03-15 23:20:05,"i dont hate it, but i dont love it either..",5
2023-10-23 08:38:49,"terrible , so slowcant believe how bad it is",5
2022-02-05 18:53:01,amazing app i recommend,2
2019-07-11 14:40:36,very good,2
2022-04-07 18:05:25,excellent,3
2023-02-04 01:53:32,2 out of 5dont even install,2
2022-08-31 14:06:15,wish it had a easier way to load with money,1
2020-09-23 15:24:32,good,1
2019-03-21 10:10:14,recommend having good phone otherwise will be harddoes the job,4
2021-04-22 17:18:42,"terrible UI, deleted",5
2018-09-09 14:20:56,"terrible , so slowcant believe how bad it is",2
2018-07-27 06:59:34,recommend having good phone otherwise will be harddoes the job,5
2021-09-24 07:26:23,soooo good,2
2023-06-23 16:03:20,3 out of 5 i guess,4
2021-11-14 10:00:58,excellent,5
2019-02-24 18:25:44,excellent,1
2019-02-03 06:35:21,very bad,1
2023-08-26 19:21:25,trash app,5
2018-02-04 02:49:10,perfect to buy and sell easily,3
2019-09-28 03:33:49,perfection,4
2023-02-02 02:10:30,bad,2
2023-10-09 21:48:19,"terrible UI, deleted",4
2023-07-25 06:30:00,excellent,3
2019-04-18 21:10:00,mediocre,2
2017-02-18 15:59:19,soooo good,3
2022-08-27 21:57:16,good,1
2021-01-03 21:29:10,soooo good,3
2017-03-03 01:23:26,2 out of 5dont even install,3
2019-04-03 21:45:25,neutral,2
2023-01-07 07:39:43,omg fantastic,4
2022-12-28 19:08:03,"terrible UI, deleted",1
2018-10-04 05:21:40,trash app,2
2018-01-29 16:46:32,hard to tell sometimes good sometimes badnot good not bad.. does the job,1
2018-11-30 05:35:41,wish it had a easier way to load with money,3
2023-08-01 11:29:50,3 out of 5 i guess,3
2019-10-21 18:22:22,neutral,1
2023-05-30 09:35:23,very good,2
2021-06-25 12:32:19,uauh terrible,3
2022-01-27 02:35:23,"terrible , so slowcant believe how bad it is",3
2022-04-12 21:34:25,recommend having good phone otherwise will be harddoes the job,5
2023-04-23 09:46:27,2 out of 5dont even install,1
2023-10-22 15:48:47,uauh terrible,4
2018-11-29 13:15:54,"terrible UI, deleted",2
2020-07-09 19:45:03,GREAT APP,5
2018-08-01 22:14:14,perfect and easy to use,3
2017-03-05 23:24:01,"cant be that bad, but its not perfectnever again using",4
2019-01-09 07:51:55,trash app,4
2017-06-11 12:36:50,"cant be that bad, but its not perfectnever again using",1
2019-09-28 15:54:56,soooo good,5
2022-09-09 22:07:38,good,3
2020-01-08 05:24:48,wow so good,5
2023-09-12 06:31:57,trash app,2
2022-03-04 21:56:53,"i dont hate it, but i dont love it either..",2
2018-04-25 01:56:56,3 out of 5 i guess,5
2021-08-19 12:35:35,very bad,1
2019-09-14 19:44:29,excellent,1
2019-12-17 06:18:59,"i dont hate it, but i dont love it either..",5
2023-06-20 15:44:56,uauh terrible,2
2020-01-12 01:42:43,recommend having good phone otherwise will be harddoes the job,2
2022-07-14 15:30:25,hard to tell sometimes good sometimes badnot good not bad.. does the job,1
2021-11-21 16:02:19,hard to tell sometimes good sometimes badnot good not bad.. does the job,5
2017-08-26 11:31:29,2 out of 5dont even install,4
2020-09-02 04:15:22,"cant be that bad, but its not perfectnever again using",1
2020-10-01 03:07:52,GREAT APP,2
2020-07-23 15:45:07,"terrible , so slowcant believe how bad it is",1
2020-07-02 10:41:00,soooo good,2
2020-11-24 04:57:26,"cant be that bad, but its not perfectnever again using",3
2021-09-23 12:48:16,perfection,3
2018-02-23 14:40:53,mediocre,4
2022-03-26 22:15:41,bad app,3
2023-07-18 05:53:48,3 out of 5 i guess,3
2019-09-18 00:08:46,excellent,3
2022-11-04 17:56:58,perfection,4
2022-05-01 14:13:31,wish it had a easier way to load with money,3
2019-12-05 01:51:01,good,3
2019-10-06 15:18:08,perfection,3
2018-01-21 14:00:50,"i dont hate it, but i dont love it either..",3
2021-06-17 22:55:03,2 out of 5dont even install,3
2023-05-23 08:16:24,2 out of 5dont even install,4
2022-12-08 09:24:28,perfect and easy to use,1
2021-05-25 23:18:13,hard to tell sometimes good sometimes badnot good not bad.. does the job,3
2022-03-29 21:41:34,2 out of 5dont even install,1
2021-06-11 21:50:07,perfect and easy to use,5
2022-10-16 10:59:41,bad app,4
2018-07-30 20:02:11,perfect to buy and sell easily,1
2022-02-05 12:31:34,perfect and easy to use,2
2022-11-29 17:28:06,trash app,2
2018-05-19 19:41:40,neutral,3
2018-03-29 05:05:42,trash app,3
2023-10-07 07:26:32,bad,2
2020-11-04 23:08:12,perfect and easy to use,4
2019-07-30 10:24:28,"terrible , so slowcant believe how bad it is",4
2023-08-20 03:54:00,omg fantastic,1
2019-06-28 19:41:28,wish it had a easier way to load with money,3
2020-03-13 00:46:25,amazing app i recommend,1
2023-07-22 08:23:23,perfect to buy and sell easily,5
2022-01-30 01:47:50,amazing app i recommend,1
2022-02-10 00:51:42,perfection,2
2017-06-10 07:47:13,very bad,1
2017-07-05 05:07:46,very bad,5
2019-12-07 09:51:01,very bad,4
2018-08-03 23:40:25,very bad,2
2019-03-14 15:13:16,soooo good,1
2019-03-12 10:31:10,wish it had a easier way to load with money,1
2017-12-22 21:42:53,bad,2
2022-10-17 03:42:32,uauh terrible,4
2019-05-15 05:40:38,perfection,4
2023-01-21 03:35:49,trash app,5
2019-03-30 16:38:28,omg fantastic,4
2017-03-24 12:45:30,"cant be that bad, but its not perfectnever again using",3
2018-03-06 14:35:56,"terrible , so slowcant believe how bad it is",3
2020-01-12 17:02:15,mediocre,5
2023-09-09 08:14:01,excellent,5
2021-10-08 10:53:34,3 out of 5 i guess,4
2017-10-25 10:08:57,recommend having good phone otherwise will be harddoes the job,1
2017-01-08 20:59:48,bad app,4
2019-11-26 18:14:53,bad app,4
2017-07-13 16:56:58,perfect to buy and sell easily,1
2021-01-19 18:03:48,excellent,4
2022-10-21 17:01:35,soooo good,5
2019-09-27 05:50:28,bad app,5
2020-12-21 23:25:25,"cant be that bad, but its not perfectnever again using",2
2020-12-13 04:43:39,wow so good,4
2017-04-05 18:55:58,perfection,4
2022-12-20 02:26:48,3 out of 5 i guess,2
2023-07-15 03:32:42,good,5
2021-05-07 21:57:13,trash app,3
2018-05-08 08:48:28,2 out of 5dont even install,4
2017-06-08 08:47:37,excellent,2
2022-01-18 20:41:30,"terrible , so slowcant believe how bad it is",1
2018-04-04 16:07:08,excellent,3
2019-01-11 04:30:44,"i dont hate it, but i dont love it either..",5
2018-10-30 00:18:41,hard to tell sometimes good sometimes badnot good not bad.. does the job,4
2018-06-17 20:12:48,omg fantastic,3
2023-04-22 07:17:28,"相当好用的APP, 每天都在用,已经推荐给了好几个韭菜朋友",2
2019-03-25 09:13:36,GREAT APP,1
2017-05-18 21:23:12,omg fantastic,5
2023-10-15 01:28:33,recommend having good phone otherwise will be harddoes the job,1
2019-01-15 00:31:36,very bad,2
2023-07-31 02:52:18,perfect to buy and sell easily,1
2021-07-19 01:58:36,neutral,2
2023-12-22 13:52:14,"terrible UI, deleted",1
2017-06-16 20:57:28,good,4
2018-06-08 07:25:52,soooo good,1
2017-04-25 16:07:34,3 out of 5 i guess,4
2021-07-20 14:06:00,bad,4
2021-07-19 23:53:55,"i dont hate it, but i dont love it either..",5
2020-05-21 17:48:40,very good,3
2022-09-29 12:51:47,perfection,5
2019-07-02 06:14:11,omg fantastic,2
2020-03-17 18:30:57,amazing app i recommend,3
2022-09-30 12:49:54,mediocre,3
2017-01-02 08:56:21,trash app,2
2018-09-18 07:07:11,omg fantastic,2
2019-07-15 20:40:02,neutral,1
2020-03-21 05:26:34,"terrible , so slowcant believe how bad it is",5
2019-11-24 14:04:32,"i dont hate it, but i dont love it either..",3
2019-10-15 16:34:24,3 out of 5 i guess,1
2019-06-29 23:38:20,hard to tell sometimes good sometimes badnot good not bad.. does the job,4
2017-03-27 03:42:09,GREAT APP,1
2022-01-19 21:42:47,perfect to buy and sell easily,5
2020-02-06 03:58:08,perfect and easy to use,4
2022-04-16 00:05:03,3 out of 5 i guess,3
2022-10-18 04:05:50,very good,4
2023-05-29 08:28:10,very bad,5
2017-12-29 06:36:05,very good,5
2017-01-26 02:29:10,hard to tell sometimes good sometimes badnot good not bad.. does the job,4
2021-12-19 11:08:40,very bad,1
2017-10-05 01:50:22,hard to tell sometimes good sometimes badnot good not bad.. does the job,2
2020-04-29 23:10:17,3 out of 5 i guess,3
2020-08-30 19:50:44,good,3
2020-11-25 23:37:06,excellent,5
2019-07-05 04:43:45,recommend having good phone otherwise will be harddoes the job,3
2021-09-19 12:27:38,wow so good,2
2017-10-30 15:22:32,"i dont hate it, but i dont love it either..",1
2021-11-07 03:32:31,"cant be that bad, but its not perfectnever again using",2
2023-10-30 02:41:31,3 out of 5 i guess,5
2021-06-16 16:33:54,bad,5
2018-06-25 21:34:24,trash app,5
2021-02-11 00:15:51,soooo good,4
2023-05-13 02:25:41,3 out of 5 i guess,4
2017-06-24 04:00:38,"cant be that bad, but its not perfectnever again using",2
2023-02-22 06:04:37,hard to tell sometimes good sometimes badnot good not bad.. does the job,4
2020-08-09 20:22:57,omg fantastic,2
2020-11-07 20:37:42,wow so good,1
2021-09-06 08:16:47,hard to tell sometimes good sometimes badnot good not bad.. does the job,1
2020-01-06 10:34:43,trash app,2
2018-07-16 17:31:36,GREAT APP,5
2019-09-26 02:39:19,very bad,2
2019-01-12 06:57:02,very good,2
2017-06-09 20:04:44,trash app,1
2018-12-23 18:28:56,"cant be that bad, but its not perfectnever again using",2
2020-01-02 19:11:02,omg fantastic,3
2022-02-22 19:31:44,perfect and easy to use,5
2017-10-11 15:22:29,"cant be that bad, but its not perfectnever again using",5
2021-12-10 15:42:11,hard to tell sometimes good sometimes badnot good not bad.. does the job,1
2020-03-04 23:54:40,uauh terrible,4
2019-04-17 09:47:07,amazing app i recommend,2
2020-08-06 17:29:50,trash app,1
2023-01-06 15:18:11,neutral,5
2022-10-15 14:42:27,2 out of 5dont even install,1
2017-09-15 04:22:09,bad,2
2019-07-17 01:05:19,recommend having good phone otherwise will be harddoes the job,1
2017-10-30 11:34:32,wish it had a easier way to load with money,5
2019-06-25 07:02:48,wish it had a easier way to load with money,5
2023-11-03 10:41:23,"i dont hate it, but i dont love it either..",4
2022-01-30 05:26:16,very bad,4
2022-01-25 20:58:13,"terrible , so slowcant believe how bad it is",2
2018-06-18 01:51:09,wish it had a easier way to load with money,2
2020-03-01 16:21:51,amazing app i recommend,5
2022-07-04 07:58:50,uauh terrible,5
2021-02-15 14:45:45,"terrible , so slowcant believe how bad it is",5
2018-02-05 03:03:26,"i dont hate it, but i dont love it either..",1
2019-08-23 19:51:53,GREAT APP,3
2018-02-24 23:37:24,3 out of 5 i guess,3
2017-01-16 18:04:03,perfect to buy and sell easily,4
2023-12-21 14:54:30,trash app,3
2021-08-16 08:40:13,"terrible , so slowcant believe how bad it is",1
2018-01-28 03:18:03,perfect and easy to use,2
2023-07-10 12:49:33,uauh terrible,1
2020-02-26 07:42:27,recommend having good phone otherwise will be harddoes the job,5
2020-11-12 14:52:28,wish it had a easier way to load with money,3
2019-05-02 05:50:01,mediocre,5
2019-10-31 05:28:46,"terrible UI, deleted",4
2020-02-06 18:38:31,3 out of 5 i guess,5
2017-07-10 04:29:01,bad app,5
2021-11-30 01:43:50,recommend having good phone otherwise will be harddoes the job,3
2017-04-03 23:49:51,"terrible , so slowcant believe how bad it is",3
2020-05-08 05:48:05,perfect to buy and sell easily,4
2021-02-13 04:41:57,amazing app i recommend,5
2021-10-04 08:05:44,bad app,3
2017-06-16 19:56:50,wow so good,4
2017-01-08 20:47:10,"i dont hate it, but i dont love it either..",1
2020-11-22 13:03:15,very bad,5
2018-11-01 11:40:56,very good,5
2018-02-28 17:42:25,wow so good,3
2020-12-20 01:51:11,2 out of 5dont even install,5
2023-01-28 19:15:47,very good,2
2019-03-17 14:18:29,GREAT APP,1
2022-08-04 09:08:51,mediocre,4
2022-10-16 18:45:03,mediocre,3
2023-10-17 23:48:30,trash app,4
2021-06-08 00:05:54,very bad,5
2020-06-25 15:35:10,bad,3
2022-10-22 15:38:36,excellent,3
2017-04-05 12:30:38,2 out of 5dont even install,3
2020-05-10 23:56:37,very bad,4
2020-02-22 07:36:23,neutral,2
2021-04-27 07:35:24,soooo good,4
2020-12-21 22:47:04,bad app,4
2019-06-02 20:36:49,recommend having good phone otherwise will be harddoes the job,2
2023-12-06 14:51:13,excellent,2
