date,review,rating,isEdited,userName,title,developerResponse
2022-08-03 08:39:50,I’m still not able to purchase bitcoin after I have done my id verification and selfie verification please what happening,5,False,gdinni,Buys are currently disabled,"{'id': 31279465, 'body': ""Hi gdinni, we are sorry to hear that your buys are disabled. Please allow us to look into this for you by contacting our support team through this link: https://help.coinbase.com/en/contact-us We're experiencing a high number of inquiries but will respond to emails as soon as we can."", 'modified': '2022-08-04T12:21:54Z'}"
2021-10-12 07:37:20,"I have alot money in my Coinbase, i am from Nigeria 
I cant even login with my national id card or driver’s license 
What sort of app is this 
Am tired ohhh
You people should help us please",5,False,nwabuzorr,Verify id,
2023-01-11 14:32:07,Hello I bought 6 pieces of solona coin with my Nigeria debit card. The money has left my Nigeria bank account but I haven’t seen my coin in my Coinbase account please what’s really going on. I have been debited but my coin aren’t been credited in my coin base account.,3,False,evans3052,Payment error,"{'id': 34318319, 'body': ""Hi evans3052, we're sorry to hear about your debit card transaction, and thank you for bringing this to our attention. We'd be happy to take a look into this with you. For further assistance, please contact us here: https://help.coinbase.com/en/community-support"", 'modified': '2023-01-16T18:47:42Z'}"
2022-07-08 15:12:10,"It’s been 2 months since I accidentally locked my account, and I have been trying to open and verify it with my ID but it’s not working, and I have money on it I can’t access.",3,False,jimmy7953,ID verification,"{'id': 30804574, 'body': ""Hi Jimmy7953, this isn't the experience we want you to have, and thank you for sharing your thoughts with us. We'd like to work on the issue with you. Please contact us using this link: https://help.coinbase.com/en/contact-us"", 'modified': '2022-07-09T19:04:00Z'}"
2023-05-12 09:58:37,"My phone is not compatible with the current update of the app.. I tried using the web to login, is saying I should confirm the dive already tried that didn’t work, It always stops loading the page.. I thought this app suppose to be the best",1,False,emy prech,Login issue,
2021-06-25 14:15:53,"Very good app, right now the app won’t open land I need to access my coins is anybody else experiencing this",4,False,vikkya1996,Urgent please,
2022-04-13 06:41:55,On my coinbase wallet I have ETH for $500 and I kept trying to send $300 but it appears that I can’t send any of it. It says that I  Couldn’t complete this transaction because  My available balance of $(0.00) when it’s not.. please how can this issue be resolved now,1,False,okoroman7,Unable to send coin,"{'id': 29196615, 'body': ""Hi Okoroman7, thanks for letting us know about the hold on your account. Having a great product and customer experience is important, so we'll bring this back to the teams for discussion.\n\nFor more information, please visit: https://help.coinbase.com/en/coinbase/trading-and-funding/sending-or-receiving-cryptocurrency/available-balance-faq"", 'modified': '2022-04-15T16:41:16Z'}"
2022-02-06 09:06:30,"I’m from Nigeria I just downloaded Coinbase, I registered the my account and I have done my registration perfectly but to add my credit card to my account it couldn’t allow me. Please I need your help.",2,False,Babangida 02,Payment method,"{'id': 28258634, 'body': ""Hi Babangida 02, thanks for giving us some feedback! We're working to provide our services to customers in more countries. To see a list of supported countries: www.coinbase.com/places\n\nFor more information about using Coinbase apps, please visit: https://help.coinbase.com/en/coinbase/other-topics/troubleshooting-and-tips/app-troubleshooting"", 'modified': '2022-02-25T15:35:55Z'}"
2021-09-14 01:03:03,What happens if I do a wire transfer to another Coinbase account that’s not in my name,5,False,Cdgjkgggdghg,Deposit,
2022-01-29 09:40:34,"Am having problem logging into my Coinbase app, If I click on the app it bounce back and don’t open. Please what should I do?",3,False,Ti Namson,Report,
2020-06-25 23:30:16,"Do you guys have coinbase wallet, the one am seeing on the apple store here the developer is different? How do i get to download your coinbase wallet if you do have? Treat as urgent",4,False,swisspaid,Coin base wallet,
2022-10-21 02:53:16,I download this app on my phone to create wallet and they still can’t verify my National identity card you guy should do something about it and I will  need to create it today,2,False,fylathum,Fylathum,"{'id': 32721941, 'body': ""Hi fylathum, we're sorry to hear about your experience on verifying your account, and we appreciate you for taking the time to share this. Please contact us via this link: https://help.coinbase.com/en/community-support and you may also check out this page: https://help.coinbase.com/en/coinbase/managing-my-account/account-information/identity-verification-faq"", 'modified': '2022-10-22T08:24:55Z'}"
2022-04-03 11:52:34,Pls my account has being restricted for a long time now and I really need the money that I kept in their. Coinbase pls help me to open my account pls,3,False,benji2009872,Plea🙏🙏,"{'id': 29017681, 'body': 'Hi Benji2009872, we know how frustrating this must be, and this isn’t the experience we want you to have. To help resolve your issue, please contact Coinbase Support using this link: https://help.coinbase.com/en/contact-us', 'modified': '2022-04-06T20:14:13Z'}"
2021-11-14 07:36:07,I can’t access it,4,False,benjamin obasi,What is wrong with my coinbase wallet,
2022-11-24 10:53:14,I have tried to get my account verified and it’s all been to no avail. All the documents I submitted were rejected so many times that I finally had to give up hope.,1,False,Ogoobaby,The verification process is not easy,"{'id': 33377269, 'body': 'Hi Ogoobaby, we are sorry to hear about your account verification issue, and appreciate you taking the time to share this with us here. We would be happy to look into this for you. Please contact us via: https://help.coinbase.com/en/community-support Thank you for your continued patience and understanding. ', 'modified': '2022-11-26T08:02:58Z'}"
2022-01-28 21:10:08,Please why do the application close it’s self once u open it,3,False,asrfhinvfjjvds23?)!,Please why do the application close it’s self once u open it,
2020-04-24 16:30:58,"This app is the worst app I have seen in my life, very slow when it comes to logging into your account and if you forget your password, you re done cause they will frustrate your life and you won’t still get your account back",1,False,Anyaorahoscar12,Rubbish app,
2019-02-26 21:43:37,Contact me if it’s on Nigeria platform,5,False,Hcccccckc,When will it be ready for Nigeria users pls,
2021-09-08 06:12:38,"It always shows we are having connection issues, try again later.",1,False,Chidicastro,App is not always working,
2020-08-27 04:42:13,"How do you keep bringing updates with bug fixes and I still can’t buy crypto.
Whenever I try it keeps showing loading and it loads for hours with no results...Sigh",1,False,fijibreed,Can’t buy crypto,
2020-08-19 21:43:53,Since I registered and I did all the necessary verification. Now I’ve been trying to add a credit card to begin transaction and it’s saying my account is restricted. I’ve contacted all your support team but no response.,1,False,Charity layla,Fix your restriction issues!,
2022-02-19 09:30:53,Trying to reach the support but no response from them,2,False,Mmaduabuchidavid,This wallet has stressed me alot.I can't send out my coin and there is no reason for that,"{'id': 28366220, 'body': ""Hi Mmaduabuchidavid, this isn't the experience we want you to have, and thank you for sharing your thoughts with us. We'd like to work on the issue with you. Please contact us using this link: https://help.coinbase.com/en/contact-us"", 'modified': '2022-03-03T18:51:13Z'}"
2021-06-03 06:24:25,Ive been unable to access coinbase for 2 weeks now it’s always saying there’s something wrong for weeks !!!  You guy should look into this,1,False,vamdnd,App doesn’t load,
2021-03-04 20:38:36,"Coinbase is awesome and easy app ,worth five stars but recent update on the app removed the app widget . The widget helps me a lot by letting me know the prices of cryptocurrency without logging in into the app",3,False,Dyian1996,Cool app,
2022-10-30 16:30:25,Allow passport please,5,False,achenz981,Actually is the truth,"{'id': 32896717, 'body': ""Hi achenz981, we appreciate you sharing your feedback on this. We're always looking to improve our product experience and we'll pass this to our team for further discussion.\t"", 'modified': '2022-11-01T03:22:45Z'}"
2023-05-23 22:31:11,Can Nigerians use this app?,5,False,Youngee postle,Question,
2021-11-28 23:11:39,Pls how do I add my card so as to fund my wallet...or is there app require for such ...I mean funding my account,3,False,bejoyfull.m,Issue with adding card,"{'id': 26877474, 'body': ""Hi Bejoyfull.m, thanks for giving us some feedback! We're working to provide our services to customers in more countries. To see a list of supported countries: www.coinbase.com/places.\n\nFor more information about using Coinbase apps, please visit: https://help.coinbase.com/en/coinbase/other-topics/troubleshooting-and-tips/app-troubleshooting"", 'modified': '2021-12-16T16:09:56Z'}"
2020-02-10 20:48:20,Awesome app and easy to use . Only problem is Nigerians aren’t allowed to trade and I don’t know why .,4,False,bonexdon,Great app,
2021-12-02 10:52:31,Someone sent me SHIB INU to my Coinbase wallet haven’t received till now it’s over 5 days now please help,4,False,cyberinu,SHIB wallet,"{'id': 26879437, 'body': ""Hi Cyberinu, we appreciate you taking the time to share your experience. We know how important your money is to you and we'd like to work on this with you. Please contact us via: https://help.coinbase.com/en/contact-us and provide the transaction hash of your missing transaction."", 'modified': '2021-12-16T18:29:38Z'}"
2021-10-31 06:33:41,I’m having issues in adding a means of payment to credit my account I’m from Nigeria pls treat with urgency,2,False,softboitk007,Payment mode,"{'id': 26329293, 'body': ""Hi Softboitk007,  thanks for giving us some feedback! We're working to provide our services to customers in more countries. To see a list of supported countries: www.coinbase.com/places.\n\nFor more information about using Coinbase apps, please visit: https://help.coinbase.com/en/coinbase/other-topics/troubleshooting-and-tips/app-troubleshooting"", 'modified': '2021-11-17T21:15:43Z'}"
2022-06-04 06:53:02,Good and my Best crypto currency’s exchange platform,5,False,Menga 444,My favorite,"{'id': 30171819, 'body': ""Hi  Menga 444, thank you for taking time to post your review. It's great to hear that you like the Coinbase app! Having a great customer experience is our top priority, and we appreciate you giving us this feedback.\n"", 'modified': '2022-06-05T16:43:06Z'}"
2020-08-12 23:32:39,"I cannot send to another wallet and is telling me account restricted, I tried contacting the support for almost 3months now no reply from them and they’re on hold of my account ... please is there any help",1,False,jfthksstjirjddg47887,Account Got Restricted for no reason,
2023-04-12 18:44:51,Your app has ruin me I can’t get into it they ask me to verify I did and yet they held my money is that how you guys render poor  service,1,False,OKPETU17,I can’t get into my account,
2020-10-11 08:55:58,"My Coinbase Account got restricted while  trying to send Bitcoin to an external wallet, the Bitcoin is for an urgent purpose pls help fix this ASAP.....I’ve complained severally pls help fix this ...
I can’t transfer the Bitcoin to an external wallet ....",1,False,timi0599595959,Coinbase account got restricted pls fix urgently,
2023-05-20 20:51:00,"I can't use my trading options here in Nigeria , they keep asking me to subscribe , what's going on",2,False,chrisbenny,Unable to use my trade,
2023-03-19 17:45:28,"Why 😡cionbase so hard to verify,I have been trying for so long to verify my account",2,False,Casino4677,Verification is very complicated,"{'id': 35497020, 'body': ""Hi Casino4677, we understand that you're experiencing this issue on Coinbase and appreciate you taking the time to share your thoughts. We'd like to work on this issue with you. Feel free to contact us on this link: https://help.coinbase.com/en/community-support\n"", 'modified': '2023-03-21T06:55:11Z'}"
2017-09-30 10:52:30,It's a safe and easy to use platform,5,False,Mister_XXIV,Coinbase review,
2022-05-24 03:33:41,Create another payment method. Like by transfer,3,False,jesstlaurent,Payment method,"{'id': 29953425, 'body': ""Hi depressedyute, we appreciate you sharing your feedback on this. We're always looking to improve our product experience and we'll pass this to our team for further discussion.\t"", 'modified': '2022-05-25T07:01:51Z'}"
2021-04-03 06:30:01,"How do I buy crypto from coin base? as I am in Nigeria. 

I want to buy a coo in like Epan",5,False,kelvinkalu,Buy coin,
2021-04-25 22:20:53,Why is there no way to buy on the app?,3,False,Re_belle,Buying,
2022-03-05 01:13:36,"I was sent $50 Btc but before I received it the address already changed, till now I’ve not received my Btc.. what’s happening ?!",1,False,kvng_mj00111,Very Poor.. I need my $50 Btc back,"{'id': 28474089, 'body': ""Hi Kvng_mj00111, we appreciate you taking the time to share your experience. We know how important your money is to you and we'd like to work on this with you. Please contact us via: https://help.coinbase.com/en/contact-us and provide the transaction hash of your missing transaction.\n\nFor more information, please visit: https://help.coinbase.com/en/coinbase/privacy-and-security/data-privacy/why-did-my-crypto-address-change"", 'modified': '2022-03-09T14:59:10Z'}"
2022-01-31 10:44:20,After an update on the app any time I want to open it it keeps crashing every time,1,False,Amusam,The app is crashing (Bad app),"{'id': 28398264, 'body': ""Hi Amusam, thanks for letting us know about the error. If you're having trouble with the app, try relaunching it. If that doesn't fix the issue, please restart your phone and make sure your internet connection is strong. You may also check: https://help.coinbase.com/en/coinbase/other-topics/troubleshooting-and-tips/app-troubleshooting"", 'modified': '2022-03-05T15:55:32Z'}"
2022-09-25 11:19:54,"Coinbase management should please consider the use of passport for verification,most of your customers have neither ID card nor driver’s license.",1,False,Judeson09,Verification problem,"{'id': 32248706, 'body': 'Hi Judeson09, we appreciate you giving us feedback! We will pass this on to our teams for discussion. Thanks for using our app.\t', 'modified': '2022-09-27T07:10:05Z'}"
2022-01-27 16:17:29,Wish I could give you zero stars. Made a transaction from my bank to Coinbase to purchase btc and it is not available yet even after 3 days. DONT USE THIS APP UNLESS YOU WANT YOUR TRANSACTIONS TO TAKE YEARS YO COMPLETE,1,False,TL$&GL,Delayed purchase,
2020-04-30 21:42:27,I can’t sign in anymore after updating now . Says “the operation couldn’t be completed “,1,False,only1 oxygene,Can’t sign in anymore after new update,
2023-01-14 09:36:22,"After verifying it works another it tells me to verify again why.. 
you guys are no more best",1,False,Kosi-nna eh,Bad,
2022-06-20 01:30:51,"My payment method is showing white blank. I can’t add my MasterCard because nothing is showing.
Please how can I rectify it.",1,False,Josheakala,Payment method,"{'id': 30482802, 'body': ""Hi Josheakala, this isn't the experience we want you to have, and thank you for sharing your thoughts with us. We'd like to work on the issue with you. Please contact us using this link: https://help.coinbase.com/en/contact-us"", 'modified': '2022-06-21T16:16:37Z'}"
2022-01-29 23:03:33,"Have downloaded the app three good times now 
But it not opening",1,False,Ayolly,My Coinbase doesn’t open,"{'id': 28398700, 'body': ""Hi Ayolly, this isn't the experience we want you to have, and thank you for sharing your thoughts with us. We'd like to work on the issue with you. Please contact us using this link: https://help.coinbase.com/en/contact-us"", 'modified': '2022-03-05T17:01:13Z'}"
2021-08-07 06:22:31,Don’t border trying to use it cos it’s meant for just people with SSN number which we don’t have the security numbers here in Nigeria,1,False,lovefromafrica,Coinbase is not for Nigerians,
2021-04-13 16:17:31,"Dear Coinbase, why do I keep getting outrages charges of up to 4 thousand Naira for a transaction/transfer between 2 coinbase wallet accounts??? What is going on",1,False,unogjoe,Transactions charges,
2018-03-17 12:24:05,Seamless to use but buying Nd selling shud be enable in Nigeria so we can buy Nd sell .tnx,5,False,solenx,Engr,
2023-06-07 23:59:56,I want to create an account but I can’t find how,2,False,Holycent,Can’t create an account,
2022-02-03 01:54:59,It’s not working on my phone I don’t understand why,1,False,Drew 4440,Problems,"{'id': 28241447, 'body': ""Hi Drew 4440, thanks for letting us know about the error. If you're having trouble with the app, try relaunching it. If that doesn't fix the issue, please restart your phone and make sure your internet connection is strong. You may also check: https://help.coinbase.com/en/coinbase/other-topics/troubleshooting-and-tips/app-troubleshooting"", 'modified': '2022-02-24T17:09:55Z'}"
2022-01-21 22:49:09,I hate coinbase with passion God will punish you people for not letting me send bitcoins after depositing you guy just want to steal my money,1,False,Okoroye Richard,Can’t send cryptocurrency,"{'id': 28092269, 'body': ""Hi Okoroye, we know how frustrating this must be, we don't want you encountering this issue. To further assist you in sending cryptocurrency, please contact Coinbase Support using this link: https://help.coinbase.com/en/contact-us\n\nFor more information, please visit: https://help.coinbase.com/en/coinbase/trading-and-funding/sending-or-receiving-cryptocurrency/available-balance-faq"", 'modified': '2022-02-16T20:56:14Z'}"
2020-11-30 22:49:54,The stuff is not working fix it we are loosing money we can’t send out we can’t trade plsss Coinbase fix ASAP,1,False,samdoriaaaa,The 2 step verification,
2020-07-02 11:51:02,"Why can’t I buy any cryptocurrency? It takes forever to load & still, it won’t work. Buying cryptocurrency with cash is IMPOSSIBLE.",1,False,BigTynsOnly,Fix this,
2022-03-15 18:01:28,Best of it’s kind,5,False,donhesky,Best of all,"{'id': 28651510, 'body': ""Hi Donhesky, thank you very much for your feedback! We're happy you're enjoying the app."", 'modified': '2022-03-18T12:53:55Z'}"
2021-04-29 15:18:31,Trading at market price is super expensive,2,False,Queensmark,Limit order needed,
2021-08-20 00:59:29,I think it will be fine if the trading charges are reduced 😕,3,False,Ogwo Mbaise South,Much trading fees,
2019-08-31 10:29:54,Am a Nigerian using NGN I can’t buy crypto using NGN. Help,5,False,Efe11111111111111111,NGN,
2022-02-05 18:06:21,It is not opening on my phone,1,False,dml200,Not working,"{'id': 28257970, 'body': ""Hi Dml200, thanks for letting us know about the error. If you're having trouble with the app, try relaunching it. If that doesn't fix the issue, please restart your phone and make sure your internet connection is strong. You may also check: https://help.coinbase.com/en/coinbase/other-topics/troubleshooting-and-tips/app-troubleshooting"", 'modified': '2022-02-25T15:02:06Z'}"
2021-11-04 09:26:00,Please I’m from Nigeria I do have a lot of money in my Coinbase and now I can’t login unless I verify please I need assistance,1,False,sopriala,Verification,"{'id': 26714244, 'body': 'Hi Sopriala, we know how important it is to access your account, and this isn’t the experience we want you to have. Please contact us here: https://help.coinbase.com/en/contact-us \n\nYou may also check this page: https://help.coinbase.com/en/coinbase/managing-my-account/account-recovery/account-recovery-faq', 'modified': '2021-12-08T12:46:40Z'}"
2020-07-01 07:56:59,I would have given a 5 star but I am unable to add a payment method,2,False,Owen Blessed,How do I add a payment method in Nigeria,
2021-04-22 20:29:04,Doesn’t allow me to login on the app,1,False,ovoski,Login error,
2021-04-12 12:23:35,I can’t create account. Is this platform not supported in Nigeria?,1,False,Milo Nation,Can’t create account,
2020-06-14 06:11:30,"Please don’t download it for your own good are can someone account just get Restricted for known reason ,worst App ever",1,False,zillions46,Worst app ever,
2023-05-04 13:43:10,I had both coinbase and the wallet but I can’t login my Coinbase,1,False,Jharmiu630,Can’t login,
2021-05-18 05:45:04,Why the hell is it taking days to confirm my transaction?,1,False,osas_da_beast,Worst experience on Coinbase,
2018-03-06 22:48:31,"Activate the trading and full functions for African countries and earn the full stars ur awesome App deserves. .. 

Till then 1 star, all day, err’day!",1,False,Stuff-d,Full functionality for Africans.. .,
2022-04-22 03:28:34,"My account was temporarily blocked, please is there any solution to this?",1,False,456charles,Account temporarily blocked,"{'id': 29347528, 'body': ""Hi 456charles, this isn't the experience we want you to have, and thank you for sharing your thoughts with us. We'd like to work on the issue with you. Please contact us using this link: https://help.coinbase.com/en/contact-us"", 'modified': '2022-04-23T14:45:01Z'}"
2020-07-15 18:29:20,Tested And trusted !,5,False,Starz5050,Expert World,
2021-10-06 11:21:59,I transferred a coin to my Coinbase wallet but haven’t seen it yet ??,1,False,okafor favour onyebuci,Have not seen my coin yet,
2020-11-26 05:53:21,Accessibility to the passcode isn’t easy on the new platform,1,False,KnockleMan,Complain,
2020-07-15 17:05:19,I can’t seem to download the app. Keeps failing,1,False,v.marlioh,Unable to download,
2022-02-01 18:24:33,"Hi 
I just downloaded the app and it not opening",1,False,mercy2413,App refusal to open,"{'id': 28222229, 'body': ""Hi Mercy2413, this isn't the experience we want you to have, and thank you for sharing your thoughts with us. We'd like to work on the issue with you. Please contact us using this link: https://help.coinbase.com/en/contact-us"", 'modified': '2022-02-23T19:16:43Z'}"
2018-01-05 16:00:09,It's a great platform but I can't use it in my country,1,False,A_abdulsamad,Country,
2021-11-12 05:43:11,Your ID verification is not working,1,False,Kexycool,Your ID verification is not working,
2021-06-01 21:09:33,I enjoy the flexibility of this App,3,False,Bush Fish,Flexible,
2021-04-13 20:42:47,How can we buy coin from Nigeria?,1,False,76;:1,?,
2022-03-05 10:24:58,I just download Coinbase app I can’t open the app,1,False,enoyoze,C,"{'id': 28472028, 'body': ""Hi Enoyoze,  this isn't the experience we want you to have, and thank you for sharing your thoughts with us. We'd like to work on the issue with you. Please contact us using this link: https://help.coinbase.com/en/contact-us"", 'modified': '2022-03-09T13:11:17Z'}"
2020-08-22 10:55:10,I’m in Nigeria and it isn’t working. What do I do,1,False,AyomideOgunseye,Nigeria problem,
2020-07-17 21:21:49,Its not downloading on my iOS,1,False,promiseAD,Its not downloading on my iOS,
2023-03-23 17:11:13,your rate is too high,2,False,seunphillips,high rate,"{'id': 35593458, 'body': ""Hi seunphillips, thank you for taking the time to share your thoughts about our pricing and fees. Your feedback is valuable so we'll pass this to our team for further discussion. For more information about our pricing and fees, you can visit: https://help.coinbase.com/en/coinbase/trading-and-funding/pricing-and-fees/fees\n"", 'modified': '2023-03-26T23:03:23Z'}"
2017-09-19 20:09:17,love it .,5,False,Rahmasmb,awesome,
2019-10-16 17:58:38,It’s not working for Nigeria,1,False,sijihimself,Region,
2016-12-19 19:20:59,I enjoy using this platform it is one of the free and save place for cryptocurrency but we need to be able to buy and sell here in Nigeria to make full fun,5,False,Mozart fado,Best ever,
2023-02-21 08:38:15,VERY FOOLISH APP…. SLOW TO BUY AND SEND BTC ….. BAD APP… DO NOT USE IT,1,False,Joshuaken7871,BAD,"{'id': 35031755, 'body': ""Hi Joshuaken7871, we're sorry to hear about your app. We know how important your money is and we'd like to work on this with you. Kindly contact our support team here: https://help.coinbase.com/en/community-support so we can look into this and avoid further delays. \n\nYou may also visit our troubleshooting tips here: https://help.coinbase.com/en/coinbase/other-topics/troubleshooting-and-tips/app-troubleshooting"", 'modified': '2023-02-23T10:24:53Z'}"
2016-11-12 14:47:40,Coinbase is well known as integrity in their good way of transaction and great services to its customers. I urge my fellow Nigerians to register with them free nd start business.,5,False,Anun-34,My Review,
2016-11-06 13:07:06,Thanks for the app. Really needed something off the web. Good app.,5,False,Jenomzy,User friendly,
2017-01-06 09:00:54,I like this platform. Very good service,5,False,Peterazzi,Recommended,
2020-04-08 08:14:11,Contact me on Instagram @el.chapocoin to buy and sell your coin at a cheaper rate.,4,False,El.chapocoin,I love coinbase,
2017-01-21 22:24:36,"I love coinbase, great app. Wonder when you will come to Nigeria.",5,False,Dammia,Love love love,
2017-08-22 08:38:50,Great app. Very stable.,5,False,AjiboyeFemi,Great app.,
2017-06-21 11:50:15,Great App,5,False,Optimus Dammy,Great!,
2023-03-29 15:42:13,"I just checked my coin base now and soon as i hit the send button, it shows “You don’t have any accounts from which sending is allowed”. Pls what does this means??? I have been using the app for over 2years now and this is my first time experiencing this even tho i don’t have no balance on it but i need to be sure if it’s safe to recieve some coin and be able to send it out. Thank you",1,False,dharrrrrrrrrrrrrrrrrrrrrrrrmn,I am concerned about sending out my crypto,"{'id': 35702182, 'body': ""Hi Dharrrrrrrrrrrrrrrrrrrrrrrrmn, we understand your concern regarding sending out your funds. We know how important your money is and we'd like to work on this with you. Kindly contact our support team here: https://help.coinbase.com/en/community-support so we can look into this and avoid further delays. Thank you."", 'modified': '2023-03-31T14:54:08Z'}"
2023-01-05 17:19:07,Please coin base I’m trying to log into my account but I’m not getting the OTP code for confirmation please what can I do?,1,False,Four.20,Complain,"{'id': 34143883, 'body': ""Hi Four.20, we appreciate you for reaching out regarding your issue receiving SMS codes. There are several reasons why this could be happening: \n-If you're using an authenticator app (like Google or Duo), you won't get SMS codes sent to your phone. Please use your authenticator app for codes instead\n-Due to issues with the SMS network itself, codes may not get delivered to everyone. You may want to instead use an authenticator app to complete this step, since they don't require internet connectivity or SMS coverage\n-Your SMS inbox may be full. Try deleting some messages from your inbox and request another code\n-After several requests to resend the SMS code, our system may temporarily stop sending them as a security measure. After 24 hours we'll resume sending codes via SMS. If you've already waited 24 hours and still aren't receiving the codes, check with your phone carrier to see if they're blocking our SMS messages\n\nFor more on this, kindly visit: https://help.coinbase.com/en/coinbase/managing-my-account/get-back-into-my-account/2-step-verification-troubleshooting\n\nFor further assistance, contact us via: https://help.coinbase.com/en/community-support"", 'modified': '2023-01-07T12:10:54Z'}"
2022-09-12 12:21:20,"I usually get my authentication code on my phone number when I want to login but this time it’s ain’t working, have done all you require but still no result yet please I need an answer to this please",1,False,umu105,Please I need your help,"{'id': 32002026, 'body': ""Hi umu105, we understand how important it is for you to access your account, and we're sorry for the inconvenience. We're happy to help. For troubleshooting tips, visit: https://help.coinbase.com/en/pro/managing-my-account/account-recovery/i-have-lost-or-need-to-update-my-phone-or-2-factor-authentication-device For additional help, you can contact us here: https://help.coinbase.com/en/community-support"", 'modified': '2022-09-13T19:58:39Z'}"
