App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Subject,Translated Body,Sentiment,Device,Language,OS Version,Reply URL,Topics,Custom Topics,Tags
"Binance: BTC, Crypto and NFTS",Google Play,com.binance.dev,e897879f-f07b-4fb7-8297-f08d5f927266,English,,5,2023-03-02,Mohammad omar faruk mohammadomarfaruk,,Good,,,positive,,English,,https://app.appbot.co/apps/1668407-binance-btc-crypto-and-nfts/reviews/3118797538/reply,[],[],[]
"Binance: BTC, Crypto and NFTS",Google Play,com.binance.dev,5dc46dbc-c3c6-4801-a316-df40a23f4482,English,,5,2023-03-02,Everistus Nnaemeka,,"Good,secure and reliable",,,positive,,English,,https://app.appbot.co/apps/1668407-binance-btc-crypto-and-nfts/reviews/3118797542/reply,"[""Security & Accounts""]",[],[]
"Binance: BTC, Crypto and NFTS",Google Play,com.binance.dev,466937f7-ec5a-4a9e-9cd0-c61aed709303,English,,5,2023-03-02,Harman Preet,,"Really useful. With outstanding features, Binance is the Best of the Best CryptoCurrency Exchange in the market. The app contains over 80 cryptocurrency pairs and is user-friendly. It also has a cryptocurrency of its own, called BNB. Etc What more could a cryptocurrency exchange possibly provide? I adore this exchange platform always. The portal and integrated crypto exchange have excellent design. This is one of my favourite cryptocurrency exchanges, and I can assure you this is best for you.",,,positive,,English,,https://app.appbot.co/apps/1668407-binance-btc-crypto-and-nfts/reviews/3118797545/reply,"[""Design & UX"", ""Satisfied users""]",[],[]
"Binance: BTC, Crypto and NFTS",Google Play,com.binance.dev,ccf1c08b-31b5-422b-8866-d35883745ceb,English,,5,2023-03-02,RaOfahad Nazeer,,Bad Dfa 302 lago,,,mixed,,English,,https://app.appbot.co/apps/1668407-binance-btc-crypto-and-nfts/reviews/3118797546/reply,[],[],[]
"Binance: BTC, Crypto and NFTS",Google Play,com.binance.dev,ce74e4f5-3570-4385-bb75-2c5aab652517,English,,2,2023-03-02,Shannon Whitford,,"This app loves to take your money, but loves to lock you out and slow you down if you ever want to take your money out, went ages unable to get in, and now the convert button is randonly gone when I need it. Possibly user error, but the whole thing feels shady as hell. Might be better using a browser, but this app is mostly just annoying.",,,negative,,English,,https://app.appbot.co/apps/1668407-binance-btc-crypto-and-nfts/reviews/3118729077/reply,"[""Bugs"", ""Design & UX"", ""Dissatisfied users"", ""Performance""]",[],[]
"Binance: BTC, Crypto and NFTS",Google Play,com.binance.dev,b0a88307-c512-4d2c-af68-b5b9dbd4e44b,English,,5,2023-03-01,Adim Chinonso Reuben,,One of the best cryptocurrency wallet to use.,,,positive,,English,,https://app.appbot.co/apps/1668407-binance-btc-crypto-and-nfts/reviews/3118729079/reply,"[""Design & UX"", ""Satisfied users""]",[],[]
"Binance: BTC, Crypto and NFTS",Google Play,com.binance.dev,8946aba8-9d0b-4497-8c5a-92ac192e8aae,English,,5,2023-03-01,Udo Francisca,,It's faster now when browsing,,,neutral,,English,,https://app.appbot.co/apps/1668407-binance-btc-crypto-and-nfts/reviews/3118729080/reply,"[""Performance""]",[],[]
"Binance: BTC, Crypto and NFTS",Google Play,com.binance.dev,aadb0331-7e06-4e90-98ef-30151c12a5dd,English,,5,2023-03-01,Ryo Saeba,,"good apps, gpod company, good boss",,,positive,,English,,https://app.appbot.co/apps/1668407-binance-btc-crypto-and-nfts/reviews/3118729081/reply,"[""Satisfied users""]",[],[]
-----------------
"Only 20 reviews can be exported while on trial. Exporting is available on Large 10 seat, Large 20 seat, Large 15 seat, Large 12 seat, Large 30 seat, Large 40 seat, Large 50 seat, and Large 7 seat plans. Upgrade instantly at https://appbot.co/choose_plan"
