App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Subject,Translated Body,Sentiment,Device,Language,OS Version,Reply URL,Topics,Custom Topics,Tags
Coinbase: Buy Bitcoin & Ether,Google Play,com.coinbase.android,1cab594d-dba7-4ec6-816f-00d528f1db26,English,,1,2023-03-02,Slick FPV,,sucks,,,negative,,English,,https://app.appbot.co/apps/676890-coinbase-buy-bitcoin-ether/reviews/3118745104/reply,"[""Dissatisfied users""]",[],[]
Coinbase: Buy Bitcoin & Ether,Google Play,com.coinbase.android,82e5b65c-63ff-4c63-a3c8-b0554643b7d0,English,,1,2023-03-02,Khandi McLaughlin,,"This used to be a great app. But I have had the worst time trying to log into my app and send bitcoins. They flagged my license and locked my account. I appreciate the extra layer of protection but goodness, it seems like it's trying to keep me out as well!",,,negative,,English,,https://app.appbot.co/apps/676890-coinbase-buy-bitcoin-ether/reviews/3118733238/reply,"[""Bugs"", ""Dissatisfied users"", ""Security & Accounts""]",[],[]
Coinbase: Buy Bitcoin & Ether,Google Play,com.coinbase.android,2f9e463e-f481-44a8-8f27-17e8c857f803,English,,5,2023-03-02,Rajendra Kumar,,Excellent,,,positive,,English,,https://app.appbot.co/apps/676890-coinbase-buy-bitcoin-ether/reviews/3118733243/reply,"[""Satisfied users""]",[],[]
Coinbase: Buy Bitcoin & Ether,Google Play,com.coinbase.android,1af95ccd-f0f3-4d2a-84d8-b06a6e49fc08,English,,5,2023-03-02,Lloyd Lloyd,,Good,,,positive,,English,,https://app.appbot.co/apps/676890-coinbase-buy-bitcoin-ether/reviews/3118723431/reply,[],[],[]
Coinbase: Buy Bitcoin & Ether,Google Play,com.coinbase.android,c6951bc8-3954-4f3e-ad32-c6c01b15ef65,English,,1,2023-03-01,Radu Mihai,,can't connect,,,negative,,English,,https://app.appbot.co/apps/676890-coinbase-buy-bitcoin-ether/reviews/3118710732/reply,[],[],[]
Coinbase: Buy Bitcoin & Ether,Google Play,com.coinbase.android,d6c895df-5a38-40ad-82c9-b30b70995899,English,,5,2023-03-01,J. Lion,,Nice futures and so fast in transactions,,,positive,,English,,https://app.appbot.co/apps/676890-coinbase-buy-bitcoin-ether/reviews/3118710736/reply,"[""Performance""]",[],[]
Coinbase: Buy Bitcoin & Ether,Google Play,com.coinbase.android,da56a302-1704-4d26-a0c8-c5bd0dedb5ec,English,,5,2023-03-01,Stankpeaches,,Good.good good,,,positive,,English,,https://app.appbot.co/apps/676890-coinbase-buy-bitcoin-ether/reviews/3118696545/reply,[],[],[]
Coinbase: Buy Bitcoin & Ether,Google Play,com.coinbase.android,deb195e9-0f97-4585-bc61-9c8bf4679707,English,,5,2023-03-01,Deidra Cade,,Coinbase is great conduit for crypto!,,,positive,,English,,https://app.appbot.co/apps/676890-coinbase-buy-bitcoin-ether/reviews/3118696549/reply,"[""Satisfied users""]",[],[]
Coinbase: Buy Bitcoin & Ether,Google Play,com.coinbase.android,b0c71268-adcc-45e8-92cc-29f7bce44e63,English,,1,2023-03-01,Kathie Trapkin,,"I can't log in to the app or the website. I got an email saying that I need to update my ID, but I can't log in because the app AND the website won't send me a text for 2-factor ID. There is no help, and I assume at this point that my money is inaccessible. The joke of a Help section seems to enjoy blaming my phone for not getting texts, but truth is that I'm texting other people as I wait for the text. No other option available - like send it to my friggin email on file!",,,negative,,English,,https://app.appbot.co/apps/676890-coinbase-buy-bitcoin-ether/reviews/3118579358/reply,"[""Bugs"", ""Gaming"", ""Notifications & Alerts"", ""Payment"", ""Performance"", ""Customer Support""]",[],[]
Coinbase: Buy Bitcoin & Ether,Google Play,com.coinbase.android,3e52cb7b-7a07-4cda-bdaa-9e1453ee6b4c,English,,1,2023-03-01,Tyler Gassman,,The fees are outrageous. Hope they go out of business.,,,negative,,English,,https://app.appbot.co/apps/676890-coinbase-buy-bitcoin-ether/reviews/3118579363/reply,"[""Pricing""]",[],[]
-----------------
"Only 20 reviews can be exported while on trial. Exporting is available on Large 10 seat, Large 20 seat, Large 15 seat, Large 12 seat, Large 30 seat, Large 40 seat, Large 50 seat, and Large 7 seat plans. Upgrade instantly at https://appbot.co/choose_plan"
