timestamp,reviews,score,sentiment
2021-12-24 20:20:31,"i dont hate it, but i dont love it either..",2,3
2023-01-23 06:09:26,perfection,5,5
2019-06-25 18:24:58,neutral,4,3
2019-01-01 05:50:40,3 out of 5 i guess,2,3
2021-09-01 20:22:04,bad,3,1
2020-11-06 09:50:03,soooo good,4,4
2019-07-29 18:57:58,soooo good,4,4
2021-02-12 22:06:38,soooo good,3,4
2022-01-14 15:03:32,good,1,4
2023-11-15 13:49:27,excellent,3,5
2023-08-03 11:29:55,uauh terrible,3,1
2022-03-19 23:26:50,"terrible , so slowcant believe how bad it is",5,1
2021-03-27 02:47:06,soooo good,1,4
2023-12-30 01:27:25,wow so good,5,5
2020-04-01 18:46:27,3 out of 5 i guess,4,3
2018-08-02 18:41:41,neutral,1,3
2018-02-08 02:48:46,very good,4,5
2021-07-13 12:00:50,hard to tell sometimes good sometimes badnot good not bad.. does the job,3,3
2017-08-18 12:00:02,"cant be that bad, but its not perfectnever again using",3,3
2020-04-13 18:30:20,very good,2,5
2022-06-06 09:13:55,GREAT APP,3,5
2021-12-08 07:32:21,neutral,4,3
2019-05-12 13:17:10,perfect and easy to use,5,5
2018-02-26 01:20:08,very good,2,5
2018-03-03 22:57:27,hard to tell sometimes good sometimes badnot good not bad.. does the job,4,3
2019-12-02 18:57:45,soooo good,5,4
2020-08-15 18:14:13,wow so good,5,5
2023-01-07 23:23:30,wish it had a easier way to load with money,3,3
2021-05-18 17:14:00,wow so good,4,5
2017-08-29 23:11:27,perfect to buy and sell easily,4,5
2019-01-02 20:39:48,very bad,5,1
2023-10-29 01:02:40,wish it had a easier way to load with money,3,3
2017-09-24 20:38:11,bad,1,1
2018-06-03 01:15:42,2 out of 5dont even install,4,1
2019-05-13 07:48:16,omg fantastic,4,5
2017-07-06 23:25:52,very good,5,5
2017-01-09 09:29:37,amazing app i recommend,4,5
2023-01-22 00:15:39,good,4,4
2022-08-20 10:50:10,GREAT APP,5,5
2017-06-08 06:49:07,perfect to buy and sell easily,5,5
2022-05-09 05:24:13,uauh terrible,5,1
2017-11-12 19:57:13,"i dont hate it, but i dont love it either..",4,3
2019-04-05 10:44:02,3 out of 5 i guess,5,3
2022-05-20 08:34:07,wish it had a easier way to load with money,5,3
2019-10-05 06:15:27,wish it had a easier way to load with money,2,3
2023-08-09 19:15:07,bad,2,1
2018-07-14 22:46:26,hard to tell sometimes good sometimes badnot good not bad.. does the job,1,3
2022-05-03 00:09:26,excellent,4,5
2019-03-28 12:41:06,perfection,1,5
2023-02-05 16:07:01,perfect and easy to use,1,5
2019-06-28 07:03:21,"cant be that bad, but its not perfectnever again using",2,3
2021-10-09 18:58:09,"terrible , so slowcant believe how bad it is",3,1
2022-10-14 19:11:05,"cant be that bad, but its not perfectnever again using",4,3
2020-12-25 18:17:11,neutral,1,3
2019-01-27 23:29:06,mediocre,3,2
2018-01-16 20:38:14,recommend having good phone otherwise will be harddoes the job,1,4
2017-09-03 02:10:42,wish it had a easier way to load with money,4,3
2023-12-06 23:18:23,"terrible UI, deleted",4,1
2021-07-03 18:38:07,recommend having good phone otherwise will be harddoes the job,1,4
2017-12-12 06:57:21,bad app,4,1
2023-02-07 02:36:37,mediocre,5,2
2021-04-19 12:12:28,mediocre,3,2
2018-08-13 09:18:48,soooo good,5,4
2018-03-12 09:41:32,wow so good,3,5
2017-08-17 18:32:46,mediocre,4,2
2017-05-22 13:06:24,mediocre,1,2
2022-11-12 01:58:38,perfect to buy and sell easily,2,5
2020-05-19 23:49:04,very good,1,5
2019-10-08 09:11:40,perfect and easy to use,2,5
2023-09-23 06:09:09,perfect to buy and sell easily,4,5
2018-12-19 23:28:43,recommend having good phone otherwise will be harddoes the job,1,4
2021-02-07 20:46:21,omg fantastic,2,5
2017-04-12 18:49:32,perfect and easy to use,4,5
2022-02-25 12:47:51,very bad,5,1
2020-06-22 14:29:33,trash app,2,1
2021-04-23 19:50:06,hard to tell sometimes good sometimes badnot good not bad.. does the job,5,3
2017-10-20 11:28:33,2 out of 5dont even install,3,1
2019-08-29 02:05:50,perfection,2,5
2018-10-17 04:21:44,excellent,4,5
2017-11-15 20:29:17,good,3,4
2018-05-30 23:35:55,good,2,4
2017-04-26 18:29:44,omg fantastic,5,5
2017-10-12 15:36:57,excellent,2,5
2018-07-06 14:52:55,good,2,4
2017-11-04 11:13:34,mediocre,5,2
2023-10-07 11:13:49,3 out of 5 i guess,3,3
2023-06-20 10:52:08,soooo good,2,4
2018-04-20 08:48:46,"cant be that bad, but its not perfectnever again using",1,3
2017-12-13 04:28:32,perfect and easy to use,2,5
2022-06-03 11:45:03,omg fantastic,1,5
2018-04-17 00:18:49,omg fantastic,5,5
2020-06-21 23:57:10,perfect to buy and sell easily,2,5
2023-06-05 20:29:56,bad app,1,1
2022-11-02 03:56:35,"cant be that bad, but its not perfectnever again using",3,3
2017-12-02 00:54:49,perfect to buy and sell easily,4,5
2021-03-13 17:54:55,perfect to buy and sell easily,1,5
2019-07-14 01:31:47,hard to tell sometimes good sometimes badnot good not bad.. does the job,1,3
2019-07-31 11:05:59,3 out of 5 i guess,3,3
2019-05-22 15:57:14,neutral,5,3
2020-06-25 18:55:34,uauh terrible,4,1
2022-06-18 17:15:08,wish it had a easier way to load with money,2,3
2017-08-01 21:35:19,2 out of 5dont even install,5,1
2020-11-22 12:26:26,3 out of 5 i guess,2,3
2018-01-26 00:20:30,3 out of 5 i guess,1,3
2019-12-02 21:16:23,"cant be that bad, but its not perfectnever again using",3,3
2023-08-29 03:03:41,hard to tell sometimes good sometimes badnot good not bad.. does the job,4,3
2022-09-17 08:10:07,excellent,2,5
2018-01-24 18:14:50,omg fantastic,5,5
2020-06-08 17:52:32,"i dont hate it, but i dont love it either..",3,3
2020-04-20 19:54:39,very good,1,5
2021-08-05 17:19:01,recommend having good phone otherwise will be harddoes the job,2,4
2019-01-04 17:48:18,neutral,1,3
2022-10-29 11:00:51,bad app,5,1
2018-03-04 08:54:16,mediocre,4,2
2021-05-17 17:38:38,recommend having good phone otherwise will be harddoes the job,5,4
2019-08-29 10:10:10,mediocre,4,2
2018-11-03 12:48:27,perfect to buy and sell easily,5,5
2022-11-30 04:54:42,very good,1,5
2023-05-29 18:53:44,omg fantastic,5,5
2018-01-16 01:10:21,"i dont hate it, but i dont love it either..",4,3
2022-02-12 00:23:04,excellent,5,5
2021-12-07 07:33:40,good,2,4
2018-10-16 18:24:42,bad,3,1
2022-11-10 12:20:56,perfect and easy to use,1,5
2023-01-21 07:06:28,recommend having good phone otherwise will be harddoes the job,5,4
2023-07-04 17:03:04,trash app,1,1
2017-07-29 11:32:14,bad app,5,1
2019-02-05 03:35:02,good,3,4
2017-06-22 00:46:34,uauh terrible,5,1
2022-02-19 19:43:02,wow so good,2,5
2020-07-13 05:40:53,trash app,1,1
2019-06-30 21:25:13,perfection,1,5
2019-03-27 04:23:21,3 out of 5 i guess,1,3
2023-10-17 23:38:38,good,2,4
2023-09-27 11:31:22,2 out of 5dont even install,1,1
2022-01-05 09:07:05,"terrible UI, deleted",5,1
2023-02-26 08:26:08,hard to tell sometimes good sometimes badnot good not bad.. does the job,1,3
2019-01-04 08:44:33,"i dont hate it, but i dont love it either..",4,3
2018-05-09 07:37:56,bad,2,1
2018-10-20 06:16:44,wow so good,1,5
2020-02-24 16:58:53,very bad,4,1
2020-08-23 04:50:15,trash app,5,1
2022-04-04 14:08:39,bad,4,1
2023-11-16 05:43:22,wow so good,4,5
2020-01-10 23:36:44,neutral,3,3
2017-06-14 00:49:57,GREAT APP,3,5
2022-12-22 12:21:39,very bad,4,1
2020-11-12 22:38:41,soooo good,5,4
2018-08-03 22:19:28,"terrible UI, deleted",4,1
2017-07-10 06:12:16,soooo good,4,4
2022-07-26 07:50:08,"i dont hate it, but i dont love it either..",2,3
2017-02-01 15:53:30,bad,3,1
2023-11-25 23:07:22,"terrible , so slowcant believe how bad it is",3,1
2022-11-20 22:49:44,"terrible UI, deleted",5,1
2018-07-18 02:29:14,GREAT APP,2,5
2018-09-28 03:19:36,2 out of 5dont even install,1,1
2023-10-01 06:56:36,neutral,3,3
2022-07-29 15:57:57,neutral,1,3
2021-12-04 13:34:11,soooo good,4,4
2017-06-10 02:27:29,wow so good,2,5
2023-02-04 23:37:31,soooo good,3,4
2021-09-10 01:52:29,"terrible UI, deleted",2,1
2021-11-01 20:42:46,very bad,4,1
2021-02-16 03:44:00,"cant be that bad, but its not perfectnever again using",1,3
2017-04-03 17:25:46,perfect to buy and sell easily,3,5
2017-07-18 07:50:21,omg fantastic,3,5
2022-05-23 13:22:11,"terrible , so slowcant believe how bad it is",2,1
2019-03-13 18:15:14,wish it had a easier way to load with money,4,3
2021-01-30 04:54:33,very good,5,5
2021-04-01 22:31:24,recommend having good phone otherwise will be harddoes the job,3,4
2023-12-08 08:37:52,"i dont hate it, but i dont love it either..",5,3
2017-08-25 10:10:49,"i dont hate it, but i dont love it either..",5,3
2017-04-29 20:31:34,bad app,3,1
2023-10-31 02:07:35,"terrible UI, deleted",2,1
2023-12-13 08:40:52,very good,3,5
2020-02-18 09:18:27,bad app,2,1
2021-11-11 12:05:18,soooo good,3,4
2020-05-02 20:56:37,"terrible , so slowcant believe how bad it is",2,1
2018-01-10 10:16:28,uauh terrible,5,1
2023-02-12 16:38:46,bad,3,1
2022-12-26 10:28:16,"cant be that bad, but its not perfectnever again using",4,3
2017-09-23 07:53:35,"terrible UI, deleted",4,1
2020-11-02 09:20:49,perfect to buy and sell easily,2,5
2019-01-17 06:58:28,trash app,1,1
2017-09-13 21:40:02,perfection,3,5
2020-07-10 10:56:58,very good,4,5
2021-04-17 14:34:58,wow so good,1,5
2022-06-01 23:31:40,hard to tell sometimes good sometimes badnot good not bad.. does the job,2,3
2017-02-02 23:44:41,amazing app i recommend,2,5
2018-11-27 12:21:13,perfection,4,5
2023-06-01 22:18:42,"i dont hate it, but i dont love it either..",5,3
2023-03-17 20:32:42,good,3,4
2017-07-23 23:34:10,"terrible , so slowcant believe how bad it is",3,1
2019-03-18 23:59:30,bad app,2,1
2017-01-17 13:17:28,very bad,2,1
2017-03-22 00:48:32,bad,5,1
2018-02-24 20:39:34,recommend having good phone otherwise will be harddoes the job,3,4
2020-10-11 08:40:48,wish it had a easier way to load with money,4,3
2017-02-12 17:52:01,perfect and easy to use,1,5
2017-04-17 19:14:40,trash app,2,1
2019-09-27 10:56:05,mediocre,1,2
2020-09-08 03:01:33,GREAT APP,3,5
2023-07-17 19:40:18,"terrible UI, deleted",4,1
2023-07-22 16:29:36,wow so good,1,5
2018-12-23 13:23:33,"i dont hate it, but i dont love it either..",1,3
2023-02-09 23:11:16,mediocre,5,2
2023-03-22 05:08:26,bad app,1,1
2022-11-08 21:55:51,bad app,5,1
2021-03-22 18:33:20,recommend having good phone otherwise will be harddoes the job,4,4
2021-09-14 20:05:40,perfect to buy and sell easily,2,5
2018-10-12 22:21:47,very bad,1,1
2023-06-06 23:28:07,3 out of 5 i guess,2,3
2021-01-21 13:36:01,"i dont hate it, but i dont love it either..",5,3
2017-08-29 05:42:38,excellent,2,5
2019-02-24 12:41:22,soooo good,1,4
2019-12-29 09:10:49,very bad,1,1
2023-12-16 17:47:33,"terrible , so slowcant believe how bad it is",2,1
2020-09-03 02:40:46,excellent,5,5
2018-06-30 16:42:52,perfect and easy to use,1,5
2019-04-07 11:08:37,very good,1,5
2019-01-08 10:19:53,wish it had a easier way to load with money,5,3
2021-08-20 01:19:54,omg fantastic,5,5
2020-01-25 05:08:31,bad app,1,1
2017-01-24 14:54:33,neutral,1,3
2019-03-14 07:13:03,perfection,5,5
2022-05-15 20:36:34,"terrible , so slowcant believe how bad it is",5,1
2018-06-27 06:27:01,"terrible , so slowcant believe how bad it is",4,1
2017-06-28 15:44:41,wish it had a easier way to load with money,5,3
2021-11-23 02:58:56,wish it had a easier way to load with money,4,3
2022-04-21 07:36:34,"terrible UI, deleted",4,1
2021-10-04 14:46:08,good,4,4
2020-06-18 10:09:51,neutral,2,3
2020-08-10 06:54:11,neutral,3,3
2023-04-29 13:14:26,perfection,1,5
2022-05-05 03:30:08,uauh terrible,4,1
2023-09-10 01:49:37,neutral,2,3
2023-10-17 08:54:07,trash app,5,1
2019-11-08 00:48:20,perfect and easy to use,1,5
2021-02-19 22:14:11,amazing app i recommend,3,5
2021-01-21 06:05:40,2 out of 5dont even install,4,1
2019-05-21 04:10:40,"terrible UI, deleted",5,1
2022-01-28 11:04:49,hard to tell sometimes good sometimes badnot good not bad.. does the job,4,3
2019-11-26 15:19:27,mediocre,5,2
2019-01-24 15:54:14,"terrible UI, deleted",4,1
2020-03-02 20:02:42,omg fantastic,2,5
2019-11-08 02:08:15,uauh terrible,2,1
2017-11-01 22:12:36,GREAT APP,2,5
2022-10-09 09:17:07,perfect and easy to use,1,5
2022-11-01 09:35:31,soooo good,2,4
2020-03-26 22:02:54,trash app,1,1
2019-09-02 05:46:40,mediocre,3,2
2023-07-28 05:35:15,omg fantastic,2,5
2018-09-19 01:04:53,soooo good,5,4
2023-07-15 03:32:30,"terrible , so slowcant believe how bad it is",5,1
2021-05-02 09:58:11,amazing app i recommend,1,5
2021-09-09 21:11:26,bad,3,1
2021-04-18 11:10:34,very bad,1,1
2023-03-20 15:10:39,recommend having good phone otherwise will be harddoes the job,1,4
2019-02-27 08:31:21,"i dont hate it, but i dont love it either..",2,3
2023-10-22 17:00:19,bad,5,1
2021-02-20 12:01:18,recommend having good phone otherwise will be harddoes the job,1,4
2022-05-16 12:50:24,perfect to buy and sell easily,5,5
2019-12-12 23:52:12,wow so good,1,5
2018-05-04 10:16:12,3 out of 5 i guess,3,3
2021-04-28 13:27:30,wish it had a easier way to load with money,4,3
2019-08-19 08:24:38,good,3,4
2017-06-11 22:10:07,"terrible , so slowcant believe how bad it is",2,1
2019-12-02 06:57:22,"terrible , so slowcant believe how bad it is",2,1
2020-03-16 08:49:23,trash app,2,1
2021-08-07 03:31:58,very bad,4,1
2021-12-29 11:57:20,amazing app i recommend,4,5
2021-10-26 10:07:35,very good,3,5
2021-08-19 16:03:22,"cant be that bad, but its not perfectnever again using",4,3
2023-11-20 20:08:40,perfection,3,5
2022-03-29 18:25:41,bad,3,1
2017-04-11 00:18:51,3 out of 5 i guess,5,3
2020-12-04 23:11:50,omg fantastic,5,5
2017-09-02 06:55:57,amazing app i recommend,3,5
2019-08-05 09:32:20,mediocre,1,2
2023-11-10 21:43:10,very bad,2,1
2021-01-09 17:53:08,amazing app i recommend,3,5
2023-08-25 11:00:40,very bad,4,1
2021-01-06 02:45:34,wow so good,4,5
2017-05-14 15:55:49,"terrible , so slowcant believe how bad it is",1,1
2018-04-27 19:25:57,amazing app i recommend,2,5
2017-07-06 20:34:03,"i dont hate it, but i dont love it either..",4,3
2017-07-27 22:53:52,"cant be that bad, but its not perfectnever again using",3,3
2017-09-13 18:27:13,mediocre,4,2
2020-03-06 18:28:02,good,1,4
2023-12-18 03:37:44,wish it had a easier way to load with money,4,3
2020-12-07 01:40:35,mediocre,5,2
2020-07-13 15:23:34,GREAT APP,3,5
2017-12-17 14:22:55,neutral,4,3
2021-10-09 00:54:42,wish it had a easier way to load with money,1,3
2019-06-14 02:21:50,mediocre,5,2
2021-07-21 19:34:23,bad app,4,1
2019-11-01 16:37:51,bad app,5,1
2021-12-10 11:43:00,mediocre,4,2
2021-12-16 18:11:56,trash app,2,1
2017-04-15 22:21:55,"terrible , so slowcant believe how bad it is",4,1
2017-02-15 21:21:06,wow so good,5,5
2020-04-21 16:10:47,trash app,3,1
2020-05-09 03:23:34,very good,1,5
2019-03-25 16:23:17,good,5,4
2022-02-01 10:51:38,3 out of 5 i guess,5,3
2021-09-11 03:46:27,neutral,5,3
2017-05-03 13:33:00,"terrible UI, deleted",1,1
2019-06-10 23:16:33,very good,4,5
2023-08-19 23:39:25,trash app,1,1
2017-01-22 10:45:35,uauh terrible,1,1
2022-05-21 16:46:13,recommend having good phone otherwise will be harddoes the job,2,4
2021-08-16 10:30:34,uauh terrible,4,1
2018-03-14 00:04:54,hard to tell sometimes good sometimes badnot good not bad.. does the job,3,3
2022-08-24 09:56:51,hard to tell sometimes good sometimes badnot good not bad.. does the job,1,3
2023-08-21 06:04:09,trash app,1,1
2021-01-16 01:09:06,"terrible , so slowcant believe how bad it is",4,1
2021-03-27 02:11:56,bad app,5,1
2021-11-14 00:48:48,very good,1,5
2017-12-21 00:05:13,very good,3,5
2023-05-04 16:14:35,very good,3,5
2020-10-14 10:36:38,amazing app i recommend,3,5
2017-11-28 00:55:45,wow so good,4,5
2019-03-11 00:24:25,perfect to buy and sell easily,1,5
2017-06-29 14:56:32,GREAT APP,4,5
2022-10-26 15:13:59,"terrible , so slowcant believe how bad it is",3,1
2023-03-11 01:13:48,"cant be that bad, but its not perfectnever again using",3,3
2019-05-15 04:11:38,trash app,4,1
2020-06-23 22:40:24,soooo good,4,4
2017-07-01 00:09:46,perfect and easy to use,4,5
2017-08-15 14:10:29,"cant be that bad, but its not perfectnever again using",5,3
2021-01-16 19:52:55,excellent,5,5
2018-12-28 21:05:33,"terrible UI, deleted",2,1
2018-03-16 06:04:34,good,1,4
2021-07-30 12:58:43,soooo good,3,4
2022-07-04 08:39:48,2 out of 5dont even install,2,1
2017-02-17 02:23:32,mediocre,1,2
2022-04-06 15:44:43,very good,2,5
2020-08-08 05:58:20,wow so good,2,5
2020-05-14 21:08:36,wow so good,1,5
2020-07-22 11:42:01,"terrible UI, deleted",1,1
2022-03-21 15:11:27,very bad,5,1
2019-07-23 09:41:58,very good,4,5
2019-12-11 03:09:31,bad app,5,1
2022-01-17 03:23:57,wish it had a easier way to load with money,5,3
2021-02-20 01:35:00,"terrible , so slowcant believe how bad it is",4,1
2018-01-10 12:48:20,good,5,4
2018-07-28 06:40:47,bad app,1,1
2022-01-29 04:32:46,wish it had a easier way to load with money,5,3
2017-01-01 12:28:11,recommend having good phone otherwise will be harddoes the job,4,4
2017-08-11 07:36:43,mediocre,3,2
2019-07-30 14:04:56,hard to tell sometimes good sometimes badnot good not bad.. does the job,4,3
2018-04-25 05:53:12,perfection,4,5
2021-06-20 06:20:00,very bad,2,1
2021-06-08 04:20:53,excellent,1,5
2023-10-23 19:44:57,bad,4,1
2023-11-05 08:37:15,2 out of 5dont even install,5,1
2022-08-01 12:42:10,2 out of 5dont even install,5,1
2018-10-16 01:20:12,wow so good,2,5
2018-08-03 07:18:41,GREAT APP,3,5
2021-07-09 00:55:59,very bad,1,1
2018-07-08 18:41:30,trash app,3,1
2021-02-22 02:37:24,wish it had a easier way to load with money,4,3
2021-10-01 02:52:16,"terrible , so slowcant believe how bad it is",3,1
2022-11-27 19:13:56,mediocre,3,2
2018-05-20 19:55:13,3 out of 5 i guess,5,3
2019-02-11 14:50:17,amazing app i recommend,3,5
2017-02-08 20:48:40,bad,2,1
2022-09-30 11:55:50,mediocre,3,2
2021-09-29 03:24:38,very good,3,5
2020-09-18 21:32:11,perfection,4,5
2018-02-09 18:31:13,bad app,4,1
2017-04-13 06:49:05,"terrible , so slowcant believe how bad it is",1,1
2021-07-30 19:26:27,omg fantastic,3,5
2019-06-27 07:43:43,"i dont hate it, but i dont love it either..",3,3
2020-11-20 06:44:54,perfect and easy to use,4,5
2018-03-27 12:15:57,"cant be that bad, but its not perfectnever again using",5,3
2021-01-16 17:27:47,very good,1,5
2021-10-24 03:29:42,trash app,3,1
2021-01-24 18:21:23,2 out of 5dont even install,3,1
2019-11-01 16:48:58,wow so good,3,5
2020-03-18 17:17:13,recommend having good phone otherwise will be harddoes the job,1,4
2021-02-18 08:07:05,wish it had a easier way to load with money,3,3
2021-01-01 09:06:10,2 out of 5dont even install,1,1
2019-07-03 13:09:54,omg fantastic,3,5
2019-08-25 19:36:53,uauh terrible,2,1
2022-05-30 04:35:00,"terrible UI, deleted",3,1
2018-04-11 22:49:01,uauh terrible,2,1
2019-05-16 09:29:58,very good,3,5
2018-04-01 19:10:42,amazing app i recommend,4,5
2019-10-12 07:50:48,omg fantastic,1,5
2021-12-07 19:10:04,recommend having good phone otherwise will be harddoes the job,4,4
2023-01-31 08:52:52,recommend having good phone otherwise will be harddoes the job,2,4
2017-07-17 23:06:35,bad,2,1
2019-03-25 18:41:56,recommend having good phone otherwise will be harddoes the job,1,4
2019-08-10 17:50:38,"terrible UI, deleted",3,1
2019-09-13 04:52:03,recommend having good phone otherwise will be harddoes the job,1,4
2023-01-20 08:01:55,uauh terrible,3,1
2018-09-27 04:20:10,GREAT APP,3,5
2019-05-14 08:22:50,bad app,5,1
2022-09-15 03:05:25,recommend having good phone otherwise will be harddoes the job,4,4
2018-02-04 11:22:13,bad,4,1
2020-12-16 09:41:11,soooo good,4,4
2022-09-06 02:54:12,uauh terrible,3,1
2017-09-25 06:17:27,omg fantastic,5,5
2017-12-03 20:41:55,very bad,3,1
2017-12-10 01:13:46,uauh terrible,5,1
2020-08-11 02:19:23,trash app,1,1
2022-10-13 13:29:01,trash app,5,1
2023-12-14 15:02:22,good,5,4
2023-02-24 15:52:36,perfection,1,5
2018-07-30 05:03:39,perfection,1,5
2017-12-27 10:13:48,wish it had a easier way to load with money,5,3
2017-01-18 08:47:47,very good,2,5
2019-05-25 23:50:45,wish it had a easier way to load with money,1,3
2017-05-11 11:18:42,uauh terrible,4,1
2017-02-23 22:24:18,GREAT APP,1,5
2019-12-22 03:19:34,"terrible UI, deleted",4,1
2023-04-15 08:35:59,perfection,2,5
2021-08-03 17:22:16,wish it had a easier way to load with money,2,3
2018-10-09 13:22:40,hard to tell sometimes good sometimes badnot good not bad.. does the job,1,3
2022-10-01 23:07:32,bad app,1,1
2020-12-17 23:01:49,trash app,4,1
2017-11-26 01:08:50,bad app,5,1
2021-09-05 06:54:18,trash app,5,1
2020-11-17 00:20:16,perfect to buy and sell easily,2,5
2021-01-06 03:12:25,2 out of 5dont even install,3,1
2021-10-20 12:25:35,amazing app i recommend,1,5
2019-04-11 05:19:53,hard to tell sometimes good sometimes badnot good not bad.. does the job,1,3
2017-12-03 12:33:49,excellent,1,5
2022-08-12 18:36:30,perfect and easy to use,3,5
2017-06-11 06:06:46,bad app,1,1
2020-03-29 02:33:37,excellent,1,5
2018-03-17 05:50:39,bad app,5,1
2023-03-19 18:43:11,soooo good,4,4
2022-02-24 05:05:25,good,2,4
2022-06-29 00:54:54,"i dont hate it, but i dont love it either..",4,3
2021-02-23 17:16:55,wish it had a easier way to load with money,5,3
2023-09-11 11:34:28,uauh terrible,3,1
2022-03-12 10:18:24,recommend having good phone otherwise will be harddoes the job,5,4
2019-01-27 15:42:24,perfect and easy to use,5,5
2021-07-08 22:45:00,good,5,4
2021-05-25 03:08:35,good,5,4
2022-09-23 05:22:28,amazing app i recommend,1,5
2020-02-12 21:32:06,bad app,1,1
2023-08-17 14:41:36,3 out of 5 i guess,5,3
2021-07-02 07:20:09,excellent,2,5
2023-01-14 22:12:30,trash app,2,1
2021-10-15 21:52:32,"cant be that bad, but its not perfectnever again using",3,3
2020-03-26 12:00:20,soooo good,5,4
2017-10-12 09:31:50,hard to tell sometimes good sometimes badnot good not bad.. does the job,5,3
2023-06-08 03:45:57,perfect to buy and sell easily,2,5
2022-09-13 20:43:12,recommend having good phone otherwise will be harddoes the job,5,4
2020-10-10 13:59:38,bad app,5,1
2022-08-27 01:03:59,hard to tell sometimes good sometimes badnot good not bad.. does the job,5,3
2017-09-09 15:58:55,"cant be that bad, but its not perfectnever again using",5,3
2017-01-15 12:56:19,bad,1,1
2023-11-07 08:55:17,trash app,1,1
2020-04-20 15:20:57,soooo good,5,4
2021-08-10 07:18:49,mediocre,4,2
2018-05-15 16:54:55,soooo good,2,4
2021-02-18 13:42:59,hard to tell sometimes good sometimes badnot good not bad.. does the job,4,3
2019-04-15 00:25:37,amazing app i recommend,1,5
2020-05-27 09:32:31,"terrible UI, deleted",2,1
2023-05-27 01:39:01,mediocre,5,2
2023-12-14 04:46:41,"i dont hate it, but i dont love it either..",2,3
2022-12-03 03:11:06,"i dont hate it, but i dont love it either..",5,3
2017-01-23 03:36:05,GREAT APP,2,5
2023-06-09 21:46:45,trash app,2,1
2019-07-04 17:57:48,omg fantastic,5,5
2022-03-31 14:57:09,uauh terrible,1,1
2023-10-16 19:37:45,"cant be that bad, but its not perfectnever again using",5,3
2023-05-22 20:09:04,perfection,2,5
2019-10-28 16:40:32,perfect and easy to use,1,5
2018-11-15 23:58:20,perfect to buy and sell easily,3,5
2019-01-01 16:14:29,wow so good,5,5
2018-12-02 22:28:24,perfection,2,5
2018-01-30 22:41:27,good,1,4
2020-01-26 03:59:52,recommend having good phone otherwise will be harddoes the job,3,4
2019-01-19 07:23:08,2 out of 5dont even install,2,1
2019-05-14 12:42:53,good,3,4
2017-03-10 11:48:24,very good,1,5
2023-11-20 09:41:34,good,4,4
2021-06-11 03:50:21,amazing app i recommend,5,5
2020-08-25 13:19:46,perfection,4,5
2019-05-31 03:27:16,neutral,1,3
2021-04-01 04:29:42,2 out of 5dont even install,1,1
2021-12-10 00:44:20,GREAT APP,2,5
2021-11-26 17:35:37,"i dont hate it, but i dont love it either..",2,3
2022-12-25 00:07:57,mediocre,1,2
2022-09-24 01:07:15,omg fantastic,1,5
2021-10-06 05:53:32,GREAT APP,2,5
2018-02-24 18:14:16,bad app,4,1
2018-08-15 19:24:09,recommend having good phone otherwise will be harddoes the job,1,4
2023-11-20 10:14:07,very bad,5,1
2020-12-22 23:27:30,"cant be that bad, but its not perfectnever again using",5,3
